Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,Temple_Category,Element,Planet
SHAN,Shani Temple,Navagraha Temple,Tamil Nadu,11.1333,79.7833,"Shani Temple - Saturn (Shani) temple. One of the Navagraha temples. Located in Thirunallar, Tamil Nadu.",https://en.wikipedia.org/wiki/Navagraha_temples,India,Navagraha,,Saturn
RAH,Rahu Temple,Navagraha Temple,Tamil Nadu,11.1333,79.7833,"Rahu Temple - Rahu temple. One of the Navagraha temples. Located in Thirunageswaram, Tamil Nadu.",https://en.wikipedia.org/wiki/Navagraha_temples,India,Navagraha,,Rahu
KET,Ketu Temple,Navagraha Temple,Tamil Nadu,11.1333,79.7833,"Ketu Temple - Ketu temple. One of the Navagraha temples. Located in Keezhperumpallam, Tamil Nadu.",https://en.wikipedia.org/wiki/Navagraha_temples,India,Navagraha,,Ketu
TIR,Tirupati Balaji Temple,Major Temple,Andhra Pradesh,13.6500,79.4167,"Tirupati Balaji Temple (Venkateswara Temple) - One of the richest and most visited temples in the world. Dedicated to Lord Venkateswara. Located in Tirupati, Andhra Pradesh.","https://en.wikipedia.org/wiki/Venkateswara_Temple,_Tirumala",India,Major Temple,,
MEE,Meenakshi Amman Temple,Major Temple,Tamil Nadu,9.9194,78.1194,"Meenakshi Amman Temple - Famous temple dedicated to Goddess Meenakshi and Lord Sundareswarar. Located in Madurai, Tamil Nadu.",https://en.wikipedia.org/wiki/Meenakshi_Temple,India,Major Temple,,
GOL,Golden Temple,Sikh Temple,Punjab,31.6200,74.8764,"Golden Temple (Harmandir Sahib) - Most sacred gurdwara of Sikhism. Located in Amritsar, Punjab.",https://en.wikipedia.org/wiki/Golden_Temple,India,Sikh Temple,,
AKS,Akshardham Temple,Major Temple,Delhi,28.6128,77.2775,Akshardham Temple - Modern Hindu temple complex. Dedicated to Swaminarayan. Located in New Delhi.,https://en.wikipedia.org/wiki/Akshardham_(Delhi),India,Major Temple,,
VIR,Virupaksha Temple,Major Temple,Karnataka,15.3350,76.3922,"Virupaksha Temple - Ancient temple dedicated to Lord Shiva. Part of Hampi UNESCO World Heritage Site. Located in Hampi, Karnataka.","https://en.wikipedia.org/wiki/Virupaksha_Temple,_Hampi",India,Major Temple,,
BEL,Belur Math,Temple,West Bengal,22.6300,88.3567,"Belur Math - Headquarters of Ramakrishna Math and Mission. Located in Belur, West Bengal.",https://en.wikipedia.org/wiki/Belur_Math,India,Major Temple,,
KON,Konark Sun Temple,UNESCO Temple,Odisha,19.8875,86.0944,"Konark Sun Temple - UNESCO World Heritage Site. Dedicated to the Sun God. Located in Konark, Odisha.",https://en.wikipedia.org/wiki/Konark_Sun_Temple,India,UNESCO Temple,,
KHA,Khajuraho Temples,UNESCO Temple,Madhya Pradesh,24.8500,79.9333,"Khajuraho Group of Monuments - UNESCO World Heritage Site. Famous for erotic sculptures. Located in Khajuraho, Madhya Pradesh.",https://en.wikipedia.org/wiki/Khajuraho_Group_of_Monuments,India,UNESCO Temple,,
RAN,Ranganathaswamy Temple,Major Temple,Tamil Nadu,10.8667,78.8167,"Ranganathaswamy Temple - One of the largest temple complexes in India. Dedicated to Lord Ranganatha. Located in Srirangam, Tamil Nadu.",https://en.wikipedia.org/wiki/Srirangam_Ranganathaswamy_temple,India,Major Temple,,
PAD,Padmanabhaswamy Temple,Major Temple,Kerala,8.4822,76.9447,"Padmanabhaswamy Temple - One of the richest temples in the world. Dedicated to Lord Vishnu. Located in Thiruvananthapuram, Kerala.",https://en.wikipedia.org/wiki/Padmanabhaswamy_Temple,India,Major Temple,,
HAR,Haridwar,Major Pilgrimage Site,Uttarakhand,29.9457,78.1642,Haridwar - One of the seven holiest places in Hinduism. Gateway to the Char Dham. Famous for Ganga Aarti. Located in Uttarakhand.,https://en.wikipedia.org/wiki/Haridwar,India,Major Pilgrimage Site,,
UDU,Udupi Krishna Temple,Major Temple,Karnataka,13.3389,74.7451,"Udupi Krishna Temple - Famous temple dedicated to Lord Krishna. Founded by Madhvacharya. Located in Udupi, Karnataka.",https://en.wikipedia.org/wiki/Udupi_Krishna_Temple,India,Major Temple,,
SAB,Sabarimala Ayyappa Temple,Major Temple,Kerala,9.4333,77.0833,"Sabarimala Ayyappa Temple - One of the largest annual pilgrimages in the world. Dedicated to Lord Ayyappa. Located in Pathanamthitta, Kerala.",https://en.wikipedia.org/wiki/Sabarimala,India,Major Temple,,
GVY,Guruvayur Temple,Major Temple,Kerala,10.5950,76.0400,"Guruvayur Temple - Famous temple dedicated to Lord Krishna. Known as ""Bhooloka Vaikuntha"" (Heaven on Earth). Located in Guruvayur, Kerala.",https://en.wikipedia.org/wiki/Guruvayur_Temple,India,Major Temple,,
RIS,Rishikesh,Major Pilgrimage Site,Uttarakhand,30.0869,78.2676,"Rishikesh - Gateway to the Himalayas and Char Dham. Known as the ""Yoga Capital of the World"". Home to many temples and ashrams along the Ganges.",https://en.wikipedia.org/wiki/Rishikesh,India,Major Pilgrimage Site,,
GOT,Gangotri Temple,Char Dham Temple,Uttarakhand,30.9944,78.9411,"Gangotri Temple - Source of the Ganges River. One of the Char Dham pilgrimage sites. Located in Uttarkashi district, Uttarakhand.",https://en.wikipedia.org/wiki/Gangotri,India,Char Dham,,
YAM,Yamunotri Temple,Char Dham Temple,Uttarakhand,31.0167,78.4500,"Yamunotri Temple - Source of the Yamuna River. One of the Char Dham pilgrimage sites. Located in Uttarkashi district, Uttarakhand.",https://en.wikipedia.org/wiki/Yamunotri,India,Char Dham,,
HEM,Hemkund Sahib,Sikh Temple,Uttarakhand,30.6833,79.6167,"Hemkund Sahib - High-altitude Sikh gurdwara. Located at 4,632 meters above sea level. Dedicated to Guru Gobind Singh.",https://en.wikipedia.org/wiki/Hemkund,India,Sikh Temple,,
TUN,Tungnath Temple,Major Temple,Uttarakhand,30.4833,79.2167,"Tungnath Temple - Highest Shiva temple in the world at 3,680 meters. Part of the Panch Kedar. Located in Rudraprayag district, Uttarakhand.",https://en.wikipedia.org/wiki/Tungnath,India,Major Temple,,
MHM,Madhyamaheshwar Temple,Major Temple,Uttarakhand,30.5667,79.2833,"Madhyamaheshwar Temple - One of the Panch Kedar temples. Dedicated to Lord Shiva. Located in Rudraprayag district, Uttarakhand.",https://en.wikipedia.org/wiki/Madhyamaheshwar,India,Major Temple,,
RUD,Rudranath Temple,Major Temple,Uttarakhand,30.5167,79.3167,"Rudranath Temple - One of the Panch Kedar temples. Dedicated to Lord Shiva. Located in Chamoli district, Uttarakhand.",https://en.wikipedia.org/wiki/Rudranath,India,Major Temple,,
KPS,Kalpeshwar Temple,Major Temple,Uttarakhand,30.5167,79.2500,"Kalpeshwar Temple - One of the Panch Kedar temples. Dedicated to Lord Shiva. Located in Chamoli district, Uttarakhand.",https://en.wikipedia.org/wiki/Kalpeshwar,India,Major Temple,,
JOS,Joshimath,Major Pilgrimage Site,Uttarakhand,30.5500,79.5667,Joshimath - Important pilgrimage town and winter seat of Badrinath. Home to Narasimha Temple and other sacred sites.,https://en.wikipedia.org/wiki/Joshimath,India,Major Pilgrimage Site,,
DEV,Devprayag,Major Pilgrimage Site,Uttarakhand,30.1500,78.6000,Devprayag - Confluence of Alaknanda and Bhagirathi rivers forming the Ganges. Important pilgrimage site with Raghunath Temple.,https://en.wikipedia.org/wiki/Devprayag,India,Major Pilgrimage Site,,
KAN,Kanaka Durga Temple,Major Temple,Andhra Pradesh,16.5162,80.6125,"Kanaka Durga Temple - Famous temple dedicated to Goddess Kanaka Durga. Located on Indrakeeladri Hill in Vijayawada, Andhra Pradesh. One of the most visited temples in South India.",https://en.wikipedia.org/wiki/Kanaka_Durga_Temple,India,Major Temple,,
RAM,Ram Mandir,Major Temple,Uttar Pradesh,26.7956,82.1944,"Ram Mandir - Grand temple dedicated to Lord Rama. Located in Ayodhya, Uttar Pradesh. Birthplace of Lord Rama and one of the most important pilgrimage sites in India.",https://en.wikipedia.org/wiki/Ram_Mandir,India,Major Temple,,
KRS,Krishna Janmasthan Temple,Major Temple,Uttar Pradesh,27.5019,77.6833,"Krishna Janmasthan Temple - Temple marking the birthplace of Lord Krishna. Located in Mathura, Uttar Pradesh. One of the most sacred sites for Vaishnavas.",https://en.wikipedia.org/wiki/Krishna_Janmasthan_Temple_Complex,India,Major Temple,,
