Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,Fort_Category
FORT14,Junagarh Fort,Historic Fort,Rajasthan,28.0167,73.3167,"Junagarh Fort - Historic fort that was never conquered. Located in Bikaner, Rajasthan.",https://en.wikipedia.org/wiki/Junagarh_Fort,India,Rajasthani Fort
FORT15,Kangra Fort,Historic Fort,Himachal Pradesh,32.1000,76.2667,"Kangra Fort - Largest fort in the Himalayas. Located in Kangra, Himachal Pradesh.",https://en.wikipedia.org/wiki/Kangra_Fort,India,Himalayan Fort
FORT16,Daulatabad Fort,Historic Fort,Maharashtra,19.9333,75.2167,"Daulatabad Fort - Historic fort known for its complex defense system. Located in Daulatabad, Maharashtra.",https://en.wikipedia.org/wiki/Daulatabad_Fort,India,Historic Fort
FORT17,Puri Fort,Historic Fort,Odisha,19.8056,85.8181,"Puri Fort - Historic fort near Jagannath Temple. Located in Puri, Odisha.",https://en.wikipedia.org/wiki/Puri,India,Historic Fort
FORT18,Vellore Fort,Historic Fort,Tamil Nadu,12.9167,79.1333,"Vellore Fort - Historic fort with a unique architectural style. Located in Vellore, Tamil Nadu.",https://en.wikipedia.org/wiki/Vellore_Fort,India,Historic Fort
FORT19,Bekal Fort,Historic Fort,Kerala,12.3833,75.0333,"Bekal Fort - Largest fort in Kerala. Located in Kasaragod district, Kerala.",https://en.wikipedia.org/wiki/Bekal_Fort,India,Coastal Fort
FORT20,Murud-Janjira Fort,Historic Fort,Maharashtra,18.3000,72.9667,"Murud-Janjira Fort - Island fort that was never conquered. Located in Raigad district, Maharashtra.",https://en.wikipedia.org/wiki/Murud-Janjira,India,Coastal Fort
FORT21,Fort St. George,Historic Fort,Tamil Nadu,13.0833,80.2833,"Fort St. George - First English fortress in India. Located in Chennai, Tamil Nadu.","https://en.wikipedia.org/wiki/Fort_St._George,_India",India,Colonial Fort
FORT22,Fort William,Historic Fort,West Bengal,22.5500,88.3333,"Fort William - Historic British fort. Located in Kolkata, West Bengal.","https://en.wikipedia.org/wiki/Fort_William,_India",India,Colonial Fort
FORT23,Srirangapatna Fort,Historic Fort,Karnataka,12.4167,76.7000,"Srirangapatna Fort - Historic fort of Tipu Sultan. Located in Srirangapatna, Karnataka.",https://en.wikipedia.org/wiki/Srirangapatna,India,Historic Fort
FORT24,Bidar Fort,Historic Fort,Karnataka,17.9167,77.5167,"Bidar Fort - Historic fort of the Bahmani Sultanate. Located in Bidar, Karnataka.",https://en.wikipedia.org/wiki/Bidar_Fort,India,Historic Fort
FORT25,Chunar Fort,Historic Fort,Uttar Pradesh,25.1333,82.8833,"Chunar Fort - Historic fort on the banks of Ganges. Located in Mirzapur district, Uttar Pradesh.",https://en.wikipedia.org/wiki/Chunar_Fort,India,Historic Fort
