Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country
MM_BAGAN,Bagan Temples,Historic Temples,Mandalay,21.1722,94.8603,"Bagan - Thousands of ancient Buddhist temples. One of the most photographed archaeological sites in Myanmar.",https://whc.unesco.org/en/list/1588,Myanmar
PH_BANAUE,Banaue Rice Terraces,Agricultural Landscape,Ifugao,16.9333,121.0500,"Banaue Rice Terraces - Ancient terraced rice fields. One of the most photographed landscapes in the Philippines.",https://www.tourism.gov.ph,Philippines
PH_CHOCOLATE,Chocolate Hills,Natural Landmark,Bohol,9.9167,124.1667,"Chocolate Hills - Unique geological formation of over 1,200 hills. One of the most photographed natural landmarks in the Philippines.",https://www.tourism.gov.ph,Philippines
MY_PETRONAS,Petronas Twin Towers,Modern Landmark,Kuala Lumpur,3.1578,101.7117,"Petronas Twin Towers - Iconic twin skyscrapers. One of the most photographed buildings in Malaysia.",https://www.petronastwintowers.com.my,Malaysia
MY_LANGKAWI,Langkawi Island,Island Destination,Kedah,6.3500,99.8000,"Langkawi - Beautiful archipelago with pristine beaches. One of the most photographed destinations in Malaysia.",https://www.malaysia.travel,Malaysia
SG_MARINA,Marina Bay Sands,Modern Landmark,Singapore,1.2833,103.8608,"Marina Bay Sands - Iconic integrated resort with rooftop infinity pool. One of the most photographed landmarks in Singapore.",https://www.marinabaysands.com,Singapore
SG_GARDENS,Gardens by the Bay,Modern Gardens,Singapore,1.2816,103.8636,"Gardens by the Bay - Futuristic gardens with Supertrees. One of the most photographed gardens in Singapore.",https://www.gardensbythebay.com.sg,Singapore
LA_LUANGPRABANG,Luang Prabang,Historic Town,Luang Prabang,19.8833,102.1333,"Luang Prabang - UNESCO World Heritage town with temples. One of the most photographed historic towns in Laos.",https://whc.unesco.org/en/list/479,Laos
BN_JAME,Jame'Asr Hassanil Bolkiah Mosque,Historic Mosque,Brunei-Muara,4.8903,114.9422,"Jame'Asr Hassanil Bolkiah Mosque - Largest mosque in Brunei. One of the most photographed mosques in Brunei.",https://www.bruneitourism.com,Brunei
TL_CRISTO,Cristo Rei Statue,Landmark,Dili,-8.5536,125.5783,"Cristo Rei Statue - Large statue of Jesus Christ. One of the most photographed landmarks in East Timor.",https://www.timorleste.tl,East Timor
BD_SUNDARBANS,Sundarbans,Natural Reserve,Khulna,21.9500,89.1833,"Sundarbans - Largest mangrove forest in the world. One of the most photographed natural areas in Bangladesh.",https://whc.unesco.org/en/list/798,Bangladesh
PK_LAHORE,Shalimar Gardens,Historic Gardens,Lahore,31.5889,74.3153,"Shalimar Gardens - Mughal gardens in Lahore. One of the most photographed historic gardens in Pakistan.",https://whc.unesco.org/en/list/171,Pakistan
AF_BAMIYAN,Bamiyan Valley,Historic Valley,Bamiyan,34.8333,67.8333,"Bamiyan Valley - Site of the destroyed Buddha statues. One of the most photographed historic sites in Afghanistan.",https://whc.unesco.org/en/list/208,Afghanistan
BT_TIGER,Tiger's Nest Monastery,Historic Monastery,Paro,27.4925,89.3633,"Tiger's Nest Monastery - Cliffside Buddhist monastery. One of the most photographed monasteries in Bhutan and the world.",https://www.tourism.gov.bt,Bhutan
MV_MALE,Male Atoll,Island Destination,Malé,4.1750,73.5089,"Male Atoll - Stunning overwater bungalows and turquoise waters. One of the most photographed destinations in the Maldives.",https://visitmaldives.com,Maldives
KZ_BAIKONUR,Baikonur Cosmodrome,Historic Site,Kyzylorda,45.9650,63.3050,"Baikonur Cosmodrome - World's first space launch facility. One of the most photographed space facilities in Kazakhstan.",https://www.roscosmos.ru,Kazakhstan
KG_ISSUK,Issyk-Kul Lake,Natural Lake,Issyk-Kul,42.4167,77.2500,"Issyk-Kul Lake - Second largest alpine lake in the world. One of the most photographed lakes in Kyrgyzstan.",https://www.discoverkyrgyzstan.org,Kyrgyzstan
TJ_ISKANDAR,Lake Iskanderkul,Natural Lake,Sughd,39.0833,68.3667,"Lake Iskanderkul - Beautiful alpine lake in the Fann Mountains. One of the most photographed lakes in Tajikistan.",https://www.tajikistan.travel,Tajikistan
TM_DARVAZA,Darvaza Gas Crater,Natural Phenomenon,Ahal,40.2528,58.4394,"Darvaza Gas Crater - The 'Door to Hell' burning gas crater. One of the most photographed natural phenomena in Turkmenistan.",https://www.turkmenistan.gov.tm,Turkmenistan
UZ_REGISTAN,Registan Square,Historic Square,Samarkand,39.6547,66.9756,"Registan Square - Ancient public square with three madrasahs. One of the most photographed squares in Uzbekistan.",https://whc.unesco.org/en/list/603,Uzbekistan
IR_PERSEPOLIS,Persepolis,Historic Ruins,Fars,29.9353,52.8903,"Persepolis - Ancient ceremonial capital of the Achaemenid Empire. One of the most photographed archaeological sites in Iran.",https://whc.unesco.org/en/list/114,Iran
IR_ISFAHAN,Naqsh-e Jahan Square,Historic Square,Isfahan,32.6572,51.6778,"Naqsh-e Jahan Square - Historic square with stunning architecture. One of the most photographed squares in Iran.",https://whc.unesco.org/en/list/115,Iran
IQ_BABYLON,Babylon,Historic Ruins,Babil,32.5422,44.4203,"Babylon - Ancient city of Mesopotamia. One of the most photographed archaeological sites in Iraq.",https://whc.unesco.org/en/list/278,Iraq
JO_PETRA,Petra,Historic City,Ma'an,30.3286,35.4419,"Petra - Ancient Nabatean city carved into rock. One of the most photographed archaeological sites in Jordan and the world.",https://whc.unesco.org/en/list/326,Jordan
JO_WADIRUM,Wadi Rum,Desert Landscape,Aqaba,29.5833,35.4167,"Wadi Rum - Stunning desert valley with red sandstone. One of the most photographed desert landscapes in Jordan.",https://whc.unesco.org/en/list/1377,Jordan
LB_BYBLOS,Byblos,Historic City,Mount Lebanon,34.1219,35.6481,"Byblos - One of the oldest continuously inhabited cities. One of the most photographed historic sites in Lebanon.",https://whc.unesco.org/en/list/295,Lebanon
SA_MEKKA,Mecca,Historic City,Mecca,21.3891,39.8579,"Mecca - Holiest city in Islam with the Kaaba. One of the most photographed religious sites in Saudi Arabia.",https://www.sauditourism.sa,Saudi Arabia
SA_MADAYIN,Al-Ula,Historic Site,Al Madinah,26.6167,37.9167,"Al-Ula - Ancient Nabatean city with rock-cut tombs. One of the most photographed archaeological sites in Saudi Arabia.",https://www.rcu.gov.sa,Saudi Arabia
SY_PALMYRA,Palmyra,Historic Ruins,Homs,34.5500,38.2667,"Palmyra - Ancient Semitic city in the Syrian desert. One of the most photographed archaeological sites in Syria.",https://whc.unesco.org/en/list/23,Syria
TR_CAPPADOCIA,Cappadocia,Natural Landscape,Nevşehir,38.6431,34.8331,"Cappadocia - Unique rock formations and hot air balloons. One of the most photographed destinations in Turkey and the world.",https://whc.unesco.org/en/list/357,Turkey
TR_HAGIA,Hagia Sophia,Historic Mosque,Istanbul,41.0086,28.9802,"Hagia Sophia - Iconic Byzantine architecture. One of the most photographed buildings in Turkey.",https://whc.unesco.org/en/list/356,Turkey
TR_PAMUKKALE,Pamukkale,Natural Springs,Denizli,37.9200,29.1214,"Pamukkale - White travertine terraces with thermal pools. One of the most photographed natural wonders in Turkey.",https://whc.unesco.org/en/list/485,Turkey
AE_BURJ,Burj Khalifa,Modern Landmark,Dubai,25.1972,55.2744,"Burj Khalifa - World's tallest building. One of the most photographed buildings in the UAE and the world.",https://www.burjkhalifa.ae,UAE
AE_SHEIKH,Sheikh Zayed Grand Mosque,Historic Mosque,Abu Dhabi,24.4122,54.4750,"Sheikh Zayed Grand Mosque - Stunning white marble mosque. One of the most photographed mosques in the UAE.",https://www.szgmc.gov.ae,UAE
YE_SANA,Old City of Sana'a,Historic City,Sana'a,15.3520,44.2075,"Old City of Sana'a - Ancient walled city with unique architecture. One of the most photographed historic cities in Yemen.",https://whc.unesco.org/en/list/385,Yemen
OM_NAKHL,Nakhal Fort,Historic Fort,Al Batinah,23.4000,57.8333,"Nakhal Fort - Ancient fort with stunning mountain backdrop. One of the most photographed forts in Oman.",https://www.omantourism.gov.om,Oman
QA_PEARL,The Pearl-Qatar,Modern Development,Doha,25.3667,51.5167,"The Pearl-Qatar - Artificial island with luxury residences. One of the most photographed modern developments in Qatar.",https://www.visitqatar.qa,Qatar
KW_KUWAIT,Kuwait Towers,Modern Landmark,Kuwait City,29.3897,48.0039,"Kuwait Towers - Iconic water towers and landmark. One of the most photographed landmarks in Kuwait.",https://www.kuwaittowers.com.kw,Kuwait
BH_BAHRAIN,Bahrain Fort,Historic Fort,Northern,26.2333,50.5167,"Bahrain Fort - Ancient fort and archaeological site. One of the most photographed historic sites in Bahrain.",https://whc.unesco.org/en/list/1192,Bahrain
IL_DOME,Dome of the Rock,Historic Mosque,Jerusalem,31.7781,35.2354,"Dome of the Rock - Iconic Islamic shrine. One of the most photographed religious sites in Israel.",https://www.visitjerusalem.com,Israel
IL_MASADA,Masada,Historic Fortress,South,31.3156,35.3539,"Masada - Ancient fortress on a plateau. One of the most photographed archaeological sites in Israel.",https://whc.unesco.org/en/list/1040,Israel
PS_BETHLEHEM,Church of the Nativity,Historic Church,Bethlehem,31.7033,35.2075,"Church of the Nativity - Birthplace of Jesus. One of the most photographed churches in Palestine.",https://whc.unesco.org/en/list/1433,Palestine
MN_GOBI,Gobi Desert,Desert Landscape,Ömnögovi,43.5000,107.0000,"Gobi Desert - Vast desert with stunning landscapes. One of the most photographed desert landscapes in Mongolia.",https://www.mongolia.travel,Mongolia
MN_KHARKHORIN,Kharkhorin,Historic Site,Övörkhangai,47.2000,102.8333,"Kharkhorin - Ancient capital of the Mongol Empire. One of the most photographed historic sites in Mongolia.",https://www.mongolia.travel,Mongolia

